id,template,type,question,answer
11,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, _, 16, _, 22, 23, 24, 35], average 75/4, squared-spread seal 1367/16 -> 7
Ordered values [_, 3, _, 15, 29, 31], average 85/6, squared-spread seal 5165/36 -> 2

Now repair this ledger:
Ordered values [4, 6, _, 16, _, 24, 27], average 109/7, squared-spread seal 3498/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",10
12,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 16, 18, 26, 30, _], average 23, squared-spread seal 211/3 -> 12
Ordered values [_, 11, 17, _, 28, 30, 32], average 145/7, squared-spread seal 3636/49 -> 9

Now repair this ledger:
Ordered values [_, _, 8, 12, 22, 33], average 27/2, squared-spread seal 1427/12
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",1
13,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [9, 11, 17, 19, _, 34, _], average 150/7, squared-spread seal 4506/49 -> 25
Ordered values [1, 3, _, 18, 28, _], average 44/3, squared-spread seal 1124/9 -> 9

Now repair this ledger:
Ordered values [1, 4, 8, 9, _, _, 30, 31], average 115/8, squared-spread seal 7311/64
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",12
14,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, 6, 9, _, 21, _, 23, 24], average 123/8, squared-spread seal 3743/64 -> 14
Ordered values [_, 8, 10, _, 22, 24, 35], average 121/7, squared-spread seal 4882/49 -> 4

Now repair this ledger:
Ordered values [4, 6, 15, _, 20, 21, 27, _], average 71/4, squared-spread seal 1343/16
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",16
15,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [5, 9, 19, 25, _, _], average 64/3, squared-spread seal 1220/9 -> 34
Ordered values [3, 14, 17, _, 30, 35, _], average 159/7, squared-spread seal 6156/49 -> 24

Now repair this ledger:
Ordered values [_, 4, 7, _, 22, 23], average 34/3, squared-spread seal 644/9
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",1
16,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, _, 18, 23, 26, 27, 36], average 157/7, squared-spread seal 2784/49 -> 13
Ordered values [_, 15, 16, 20, 28, 29, 31, _], average 175/8, squared-spread seal 5895/64 -> 3

Now repair this ledger:
Ordered values [_, 3, 12, 13, 24, 31, _], average 117/7, squared-spread seal 6954/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",1
17,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 11, 16, 18, _, 26, 30, 33], average 41/2, squared-spread seal 77 -> 6
Ordered values [1, _, 10, 19, _, 29], average 46/3, squared-spread seal 824/9 -> 9

Now repair this ledger:
Ordered values [2, 7, _, 20, 25, 26, 28, _], average 20, squared-spread seal 409/4
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",18
18,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [11, 13, 17, 19, 27, _, _], average 153/7, squared-spread seal 3576/49 -> 31
Ordered values [_, 8, 9, 12, 13, _, 33], average 106/7, squared-spread seal 4220/49 -> 6

Now repair this ledger:
Ordered values [3, 9, 17, 19, _, 29, 31, _], average 41/2, squared-spread seal 205/2
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",22
19,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [2, 6, 11, _, _, 24, 35], average 109/7, squared-spread seal 5220/49 -> 15
Ordered values [2, 21, 27, 32, _, _], average 51/2, squared-spread seal 545/4 -> 35

Now repair this ledger:
Ordered values [_, _, 21, 24, 25, 30], average 56/3, squared-spread seal 812/9
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",3
20,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 6, 10, 21, _, 27, 32, 35], average 39/2, squared-spread seal 545/4 -> 1
Ordered values [_, 14, 17, 20, 32, _], average 41/2, squared-spread seal 1159/12 -> 6

Now repair this ledger:
Ordered values [3, _, _, 22, 23, 31, 34, 35], average 41/2, squared-spread seal 283/2
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",7
21,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 3, 8, 15, 16, _], average 32/3, squared-spread seal 413/9 -> 2
Ordered values [4, 11, _, 29, 30, 32, _], average 158/7, squared-spread seal 5500/49 -> 19

Now repair this ledger:
Ordered values [11, _, 14, 22, _, 25], average 18, squared-spread seal 101/3
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",12
22,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [3, 5, 10, _, 29, 30, _, 36], average 85/4, squared-spread seal 2391/16 -> 26
Ordered values [4, 6, 13, 24, _, 27, _, 30], average 79/4, squared-spread seal 1531/16 -> 26

Now repair this ledger:
Ordered values [_, 6, 14, 23, _, 29, 31, 33], average 167/8, squared-spread seal 6935/64
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",5
23,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [17, 18, _, 22, 26, 34, _], average 172/7, squared-spread seal 2294/49 -> 20
Ordered values [1, _, 11, 27, 28, _], average 107/6, squared-spread seal 4361/36 -> 10

Now repair this ledger:
Ordered values [9, 11, _, _, 17, 26, 35, 36], average 159/8, squared-spread seal 6727/64
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",12
24,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, 8, 17, 20, 23, 25, _, _], average 79/4, squared-spread seal 1375/16 -> 27
Ordered values [2, 8, _, 10, 30, _], average 91/6, squared-spread seal 4757/36 -> 9

Now repair this ledger:
Ordered values [9, _, _, 15, 21, 28, 31, 34], average 81/4, squared-spread seal 1315/16
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",11
25,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, 14, 20, 23, _, 31, _], average 22, squared-spread seal 98 -> 26
Ordered values [5, 8, 11, _, 20, _, 31, 34], average 77/4, squared-spread seal 1775/16 -> 15

Now repair this ledger:
Ordered values [10, 13, _, 20, 22, _, 25, 31], average 20, squared-spread seal 81/2
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",16
26,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [5, 6, 10, _, 24, 28, _, 33], average 151/8, squared-spread seal 7623/64 -> 13
Ordered values [18, 19, 25, _, _, 32], average 76/3, squared-spread seal 251/9 -> 28

Now repair this ledger:
Ordered values [_, _, 6, 20, 22, 25], average 13, squared-spread seal 272/3
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",2
27,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [7, 9, 10, _, _, 33, 35], average 124/7, squared-spread seal 5596/49 -> 14
Ordered values [_, 8, 9, 11, 15, 18, 25, _], average 61/4, squared-spread seal 1479/16 -> 2

Now repair this ledger:
Ordered values [1, 4, _, _, 24, 31], average 40/3, squared-spread seal 1079/9
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",6
28,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 10, 12, _, 29, 30], average 35/2, squared-spread seal 1271/12 -> 2
Ordered values [_, 13, 20, _, 28, 35], average 127/6, squared-spread seal 3305/36 -> 6

Now repair this ledger:
Ordered values [3, 8, 9, 14, _, _, 29], average 100/7, squared-spread seal 3160/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",17
29,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, _, 9, 11, 13, 15, 24, 27], average 53/4, squared-spread seal 1051/16 -> 2
Ordered values [1, _, _, 17, 18, 24, 26, 27], average 17, squared-spread seal 69 -> 10

Now repair this ledger:
Ordered values [1, 5, _, 13, 17, _, 23, 25], average 55/4, squared-spread seal 1027/16
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",8
30,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [1, _, 8, 10, _, 23, 28, 30], average 127/8, squared-spread seal 6967/64 -> 5
Ordered values [_, _, 23, 24, 25, 30, 33, 34], average 193/8, squared-spread seal 4455/64 -> 7

Now repair this ledger:
Ordered values [_, 12, 17, _, 30, 32, 35], average 159/7, squared-spread seal 5148/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",6
31,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [2, 5, 10, 13, 20, 28, _, _], average 18, squared-spread seal 535/4 -> 32
Ordered values [_, 8, _, 12, 21, 26, 31, 35], average 143/8, squared-spread seal 8295/64 -> 1

Now repair this ledger:
Ordered values [9, _, 13, 14, 20, _], average 29/2, squared-spread seal 251/12
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",10
32,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [3, 10, 16, 18, 23, _, 29, _], average 159/8, squared-spread seal 5735/64 -> 27
Ordered values [15, 16, 17, _, 22, _, 25], average 138/7, squared-spread seal 668/49 -> 19

Now repair this ledger:
Ordered values [1, _, _, 5, 15, 25, 34], average 87/7, squared-spread seal 6830/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",3
33,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, 15, _, 27, 31, 34, 35, _], average 99/4, squared-spread seal 1927/16 -> 16
Ordered values [3, 4, 16, _, _, 35], average 95/6, squared-spread seal 4121/36 -> 18

Now repair this ledger:
Ordered values [3, 4, _, 9, 23, 28, _, 34], average 137/8, squared-spread seal 8951/64
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",7
34,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [1, 4, _, _, 17, 31, 34], average 107/7, squared-spread seal 7136/49 -> 6
Ordered values [2, 3, 14, 20, 21, 23, _, _], average 18, squared-spread seal 106 -> 30

Now repair this ledger:
Ordered values [1, _, 11, _, 18, 29, 33, 36], average 18, squared-spread seal 155
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",4
35,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [1, 8, 14, 15, _, 23, _, 33], average 135/8, squared-spread seal 5527/64 -> 17
Ordered values [1, 2, _, 9, 11, _, 33], average 79/7, squared-spread seal 5274/49 -> 5

Now repair this ledger:
Ordered values [10, 16, 19, 20, _, _, 35, 36], average 101/4, squared-spread seal 1435/16
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",32
36,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [7, _, 14, 16, _, 31, 32], average 137/7, squared-spread seal 4016/49 -> 12
Ordered values [8, 20, 25, 26, _, _], average 143/6, squared-spread seal 2621/36 -> 28

Now repair this ledger:
Ordered values [18, 19, 21, _, 33, _], average 155/6, squared-spread seal 1745/36
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",28
37,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, _, _, 13, 18, 27, 30], average 111/7, squared-spread seal 3996/49 -> 7
Ordered values [5, 6, _, _, 19, 26, 30, 31], average 37/2, squared-spread seal 351/4 -> 15

Now repair this ledger:
Ordered values [_, _, 15, 26, 30, 32], average 59/3, squared-spread seal 944/9
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",5
38,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 12, 18, 26, 27, _, 34], average 150/7, squared-spread seal 5066/49 -> 3
Ordered values [_, 17, 19, _, 25, 28], average 113/6, squared-spread seal 2765/36 -> 1

Now repair this ledger:
Ordered values [1, _, 13, 18, 21, _], average 29/2, squared-spread seal 329/4
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",6
39,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 7, 14, 20, 22, _, 31], average 128/7, squared-spread seal 4308/49 -> 5
Ordered values [3, _, 24, 29, 30, _], average 143/6, squared-spread seal 3929/36 -> 21

Now repair this ledger:
Ordered values [9, 13, 22, 24, 25, _, _], average 157/7, squared-spread seal 3288/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",30
40,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 7, _, 18, 20, 35], average 16, squared-spread seal 311/3 -> 4
Ordered values [1, _, 9, 12, 17, 18, _], average 89/7, squared-spread seal 2670/49 -> 7

Now repair this ledger:
Ordered values [1, 7, _, 23, _, 31], average 16, squared-spread seal 355/3
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",9
41,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [3, _, 13, 19, _, 27, 33], average 131/7, squared-spread seal 4560/49 -> 11
Ordered values [_, 18, 19, 25, 28, _, 35], average 169/7, squared-spread seal 2582/49 -> 13

Now repair this ledger:
Ordered values [5, 7, _, 13, 14, _], average 67/6, squared-spread seal 797/36
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",9
42,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, _, 21, 23, 31, 36], average 68/3, squared-spread seal 722/9 -> 9
Ordered values [_, 3, 4, 8, 12, 13, _, 34], average 23/2, squared-spread seal 395/4 -> 1

Now repair this ledger:
Ordered values [13, 18, _, _, 31, 36], average 155/6, squared-spread seal 2249/36
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",27
43,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [1, 13, _, 18, _, 34], average 17, squared-spread seal 97 -> 15
Ordered values [7, 11, 23, 26, _, _, 36], average 158/7, squared-spread seal 4324/49 -> 27

Now repair this ledger:
Ordered values [_, 6, 14, 24, 28, _, 34], average 20, squared-spread seal 864/7
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",4
44,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [8, _, _, 13, 32, 36], average 37/2, squared-spread seal 1487/12 -> 10
Ordered values [_, 18, _, 28, 33, 35, 36], average 191/7, squared-spread seal 2712/49 -> 16

Now repair this ledger:
Ordered values [13, 19, 24, 25, _, _], average 149/6, squared-spread seal 2105/36
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",32
45,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, 9, 11, 25, _, 34, 35], average 149/7, squared-spread seal 6394/49 -> 6
Ordered values [7, 8, 10, 20, _, 22, _, 34], average 145/8, squared-spread seal 4759/64 -> 21

Now repair this ledger:
Ordered values [3, _, _, 30, 31, 32], average 58/3, squared-spread seal 1304/9
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",7
46,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [2, _, _, 10, 16, 18], average 59/6, squared-spread seal 1205/36 -> 4
Ordered values [_, 16, 17, 22, _, 30, 32, 34], average 91/4, squared-spread seal 1259/16 -> 6

Now repair this ledger:
Ordered values [1, 3, _, 17, _, 26, 35], average 116/7, squared-spread seal 6004/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",16
47,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, _, 8, 9, 17, 27, _], average 101/7, squared-spread seal 4954/49 -> 5
Ordered values [_, 16, _, 19, 26, 28, 30, 35], average 175/8, squared-spread seal 5431/64 -> 4

Now repair this ledger:
Ordered values [_, 7, 10, 16, _, 30, 36], average 123/7, squared-spread seal 6788/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",1
48,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [4, _, 8, 11, 22, 31, 32, _], average 37/2, squared-spread seal 535/4 -> 7
Ordered values [18, _, 28, 29, 34, _], average 55/2, squared-spread seal 527/12 -> 20

Now repair this ledger:
Ordered values [1, _, 3, 7, 15, _, 25, 33], average 51/4, squared-spread seal 1915/16
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",2
49,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [_, _, 20, 22, 23, 28, 29], average 134/7, squared-spread seal 3940/49 -> 3
Ordered values [_, 10, _, 23, 27, 32], average 20, squared-spread seal 236/3 -> 7

Now repair this ledger:
Ordered values [1, 4, 6, 20, _, _, 32], average 110/7, squared-spread seal 6002/49
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",22
50,silent_census,statistics,"In the census house, a list of distinct integers was written in increasing order, but two entries were smudged away. The keeper still preserved the full average and the full squared-spread seal, where the squared-spread seal means the population variance.

Earlier repaired ledgers:
Ordered values [1, 15, 22, 24, _, _], average 21, squared-spread seal 120 -> 28
Ordered values [15, 22, _, _, 32, 36], average 53/2, squared-spread seal 611/12 -> 23

Now repair this ledger:
Ordered values [_, 22, 27, 28, _, 32], average 145/6, squared-spread seal 3017/36
What is the smaller missing integer?

Please only give the answer in numerical format and only reply with the answer.",5
